substrate ,microorganism,reactoe / mode,pH,temperature °C,hydrogen-yield,refrence
vegetable kitchen waste,enriched from kitchen waste compost,cstr / batch,7,55,0.57 mmol H2 /g COD,"(Lee et al., 2008)"
cattle wastewater,"mixed culture from wastewater sludge, cow dung, chicken manure, river sludge",cstr / batch,5.5,45,319 mL H2 /g VS,"(Tang et al., 2008)"
rice straw,heat-treated sludge from wwtp,cstr / batch,6.5,55,24.8 mL H2 /g VS,"(Chen et al., 2012)"
wheat straw,na,batch,6,35,17.6 mL H2 /g VS,"(Ghimire et al., 2015)"
wheat starw,na,uasb/continuous,6.5,70, 21.2 mL H2 /g VS,"(Ghimire et al., 2015)"
corn stover,na,batch,6,35,2.84 mL H2 /g VS,"(Ghimire et al., 2015)"
corn stover,na,batch,5.5,35,3 mL H2 /g VS,"(Ghimire et al., 2015)"
beet pulp,na,batch,6,35,76.7 mL H2 /g VS,"(Ghimire et al., 2015)"
sugarcane bagasse,na,batch,6.5,35,66.7 mL H2 /g VS,"(Ghimire et al., 2015)"
sugarcane bagasse,na,batch,5.5,55,300 mL H2 /g VS,"(Ghimire et al., 2015)"
grass,na,batch,6.5,35,72.2 mL H2 /g VS,"(Ghimire et al., 2015)"
grass,na,batch,6,35,39.5 mL H2 /g VS,"(Ghimire et al., 2015)"
corn stover,na,batch,5.5,36,209.8 mL H2 /g VS,"(Ghimire et al., 2015)"
corn cobs,na,batch,6,36,107.9 mL H2 /g VS) ,"(Ghimire et al., 2015)"
sucrose,clostridium pasteurianum ,batch,7,37,3.85 mol H2 /mol sucrose ,"(Ghimire et al., 2015)"
sucrose,cattle dung,batch,6,38,3.67 mol H2 /mol sucrose ,"(Ghimire et al., 2015)"
sugarcane bagasse,enterobacter aerogenes mtcc 2822,batch,6.8,38,NA,"(Ghimire et al., 2015)"
organic fraction of municipal solid waste,heat treated sludge feom biogass plant,batch,5.2,37,43 mL H2 /g VS added,"(Ghimire et al., 2015)"
food waste,mixed culture,batch,5.8,40,65 mL H2 /g VS,"(Ghimire et al., 2015)"
algae biomass,mixed culture,batch,5.5,55,53.4 mL H2 /g VS,"(Ghimire et al., 2015)"
molasses,mixed culture,batch,5.5,55,0.27 mol H2 /mol COD ,"(Ghimire et al., 2015)"
corn stover ,clostridium thermocellum,batch,6.8,50,1.67 mol H2 /mol glucose,"(Ghimire et al., 2015)"
corn stover,mixed culture,batch,7,36,129.8 mL H2 /g corn,"(Ghimire et al., 2015)"
molasses,na,cstr,4.5,35,0.175 m³/kg COD,"(Tapia-Venegas et al., 2015)"
sucrose,na,fluidized bed reactor,6,35,0.016 m³/kg COD,"(Tapia-Venegas et al., 2015)"
sucrose,na,cstr,5.9,35,0.52 mol H2 /mol Hexose ,"(Tapia-Venegas et al., 2015)"
sucrose,na,fluidized bed reactor,6.5,70,3 mol H2 /mol Hexose ,"(Tapia-Venegas et al., 2015)"
crude glycerol,na,cstr,6,60,2.4 mol H2 /mol Hexose ,"(Tapia-Venegas et al., 2015)"
manure + paper waste,na,plug flow reactor,5.6,35,72 L H2  /Kg VS,"(Tapia-Venegas et al., 2015)"
kitchen waste,na,cstr,5.3,33,1.82 mol H2 /mol Hexose ,"(Tapia-Venegas et al., 2015)"
food waste,na,cstr,5.3,35,0.5 mol H2 /mol Hexose ,"(Tapia-Venegas et al., 2015)"
food waste,na,cstr,6,55,67 mL H2 /g VS,"(Tapia-Venegas et al., 2015)"
