,Substrate ,Microorganism,Reactoe/Mode,pH,Temperature °C,Hydrogen yield,Refrence ,Incitatiom,Location,,,
,Wheat straw 1%,Caldicellulosiruptor saccharolyticus,Batch,7,70°C,3.80 mol H2/mol glucose,"Ivanova, G., Rákhely, G., & Kovács, K. L. (2009). Thermophilic biohydrogen production from energy plants by Caldicellulosiruptor saccharolyticus and comparison with related studies. International Journal of Hydrogen Energy, 34(9), 3659–3670. https://doi.org/10.1016/j.ijhydene.2009.02.084","(Ivanova, Rákhely, & Kovács, 2009)",https://sci-hub.se/10.1016/j.ijhydene.2009.02.084,,,
,Delignified wood fibers 0.1 g/dm³,Clostridium thermocellum 27405,Batch,7,60°C,2.32 mol H2/mol glucose,"Levin, D., Islam, R., Cicek, N., & Sparling, R. (2006). Hydrogen production by Clostridium thermocellum 27405 from cellulosic biomass substrates. International Journal of Hydrogen Energy, 31(11), 1496–1503. https://doi.org/10.1016/j.ijhydene.2006.06.015","(Levin et al., 2006)",https://sci-hub.se/10.1016/j.ijhydene.2006.06.015,,,
,Soybean straw,Mixed cultures,Batch,7,60°C,5.46 cm³ H2/g substrate,"Han, H., Wei, L., Liu, B., Yang, H., & Shen, J. (2012). Optimization of biohydrogen production from soybean straw using anaerobic mixed bacteria. International Journal of Hydrogen Energy, 37(17), 13200–13208. https://doi.org/10.1016/j.ijhydene.2012.03.073","(Han et al., 2012)",https://sci-hub.se/10.1016/j.ijhydene.2012.03.073,,,
,Pine tree wood 10 g sugar/dm³,Mixed cultures from sewage sludge digesters,Batch,5,70,0.99 mol/mol substrate,"Ito, T., Nakashimada, Y., Senba, K., Matsui, T., & Nishio, N. (2005). Hydrogen and ethanol production from glycerol-containing wastes discharged after biodiesel manufacturing process. Journal of Bioscience and Bioengineering, 100(3), 260–265. https://doi.org/10.1263/jbb.100.261",,https://sci-hub.se/https://doi.org/10.1263/jbb.100.260,,,
,Corn stalk  40 ml pretreated solution,Mixed cultures,Batch,7,35,25.30 cm³ H2/g DB,"Vijayaraghavan, K., & Ahmad, D. (2006). Biohydrogen generation from palm oil mill effluent using anaerobic contact filter. International Journal of Hydrogen Energy, 31(10), 1284–1291. https://doi.org/10.1016/j.ijhydene.2005.12.003",,https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2005.12.003,,,
,wheat straw e 5 g/dm³,Clostridium pasteurianum,Batch,7.5,70,78.5 cm³ H2/g DB,"Zhi, Z., & Wang, H. (2014). White-rot fungal pretreatment of wheat straw with Phanerochaete chrysosporium for biohydrogen production: simultaneous saccharification and fermentation. Bioprocess and Biosystems Engineering, 37(7), 1447–1458. https://doi.org/10.1007/s00449-013-1117-x","(Zhi & Wang, 2014)",https://www.researchgate.net/publication/259766110_White-rot_fungal_pretreatment_of_wheat_straw_with_Phanerochaete_chrysosporium_for_biohydrogen_production_Simultaneous_saccharification_and_fermentation,,,
,Corn straw,Ethanoligenens harbinense B49,Batch,7.5,37,72 cm³ H2/g,"Xu, J., & Deshusses, M. A. (2015). Fermentation of swine wastewater-derived duckweed for biohydrogen production. International Journal of Hydrogen Energy, 40(22), 7028–7036. https://doi.org/10.1016/j.ijhydene.2015.03.166","(Xu & Deshusses, 2015)",file:///C:/Users/Hagar/Downloads/art3A10.10072Fs00449-013-1117-x.pdf,,,
,Rice straw,Thermoanaerobacterium.,100 ml-vial Batch,7,60,80.3 cm³ H2/g,"Zhao, L., Cao, G., Wang, A., Ren, H., Dong, D., Liu, Z., Guan, X., Xu, C., & Ren, N. (2012). Fungal pretreatment of cornstalk with Phanerochaete chrysosporium for enhancing enzymatic saccharification and hydrogen production. Bioresource Technology, 114, 365–369. https://doi.org/10.1016/j.biortech.2012.03.076","(Zhao et al., 2012)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2015.03.166,,,
,Rice straw,Thermoanaerobacterium.,Batch,7,60,2.70 mmol H2/g straw,"Show, K., Lee, D., Tay, J., Lin, C., & Chang, J. (2012). Biohydrogen production: Current perspectives and the way forward. International Journal of Hydrogen Energy, 37(20), 15616–15631. https://doi.org/10.1016/j.ijhydene.2012.04.109","(Show et al., 2012)",https://sci-hub.se/10.1016/j.ijhydene.2012.04.109,,,
,Sugarcane bagasse 20 g COD/dm³,Clostridium butyricum,Batch,6,37,1.73 mol H2/mol total sugar,"Pattra, S., Sangyoka, S., Boonmee, M., & Reungsang, A. (2008). Bio-hydrogen production from the fermentation of sugarcane bagasse hydrolysate by Clostridium butyricum. International Journal of Hydrogen Energy, 33(19), 5256–5265. https://doi.org/10.1016/j.ijhydene.2008.05.008","(Pattra et al., 2008)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2008.05.008,,,
,Cellulose,Thermoanaerobacterium Thermosaccharolyticum,Batch,7.5,65,82.2 mmol H2/g glucose,"De Vrije, T., De Haas, G., Tan, G., Keijsers, E., & Claassen, P. (2002). Pretreatment of Miscanthus for hydrogen production by Thermotoga elfii. International Journal of Hydrogen Energy, 27(11–12), 1381–1390. https://doi.org/10.1016/s0360-3199(02)00124-6","(De Vrije et al., 2002)",https://sci-hub.se/10.1016/S0360-3199(02)00124-6,,,
,Cellulose,Thermoanaerobacterium Thermosaccharolyticum,Batch,7,50,11.74 mmol H2/g glucose,"Gonzales, R. R., Sivagurunathan, P., Parthiban, A., & Kim, S. (2016). Optimization of substrate concentration of dilute acid hydrolyzate of lignocellulosic biomass in batch hydrogen production. International Biodeterioration & Biodegradation, 113, 22–27. https://doi.org/10.1016/j.ibiod.2016.04.016",,https://sci-hub.se/10.1016/j.ibiod.2016.04.016 ,,,
,Cellulose,Thermoanaerobacterium Thermosaccharolyticum,Batch,7.5,50,11.74 mmol H2/g glucose,"Gonzales, R. R., Sivagurunathan, P., Parthiban, A., & Kim, S. (2016). Optimization of substrate concentration of dilute acid hydrolyzate of lignocellulosic biomass in batch hydrogen production. International Biodeterioration & Biodegradation, 113, 22–27. https://doi.org/10.1016/j.ibiod.2016.04.017",,https://sci-hub.se/10.1016/j.ibiod.2016.04.017,,,
,Sweet sorghum bagasse 10 g sugar/dm³,Caldicellulosiruptor saccharolyticus,Batch,6.8,72,2.61 mol H2/mol hexose,"Gonzales, R. R., Sivagurunathan, P., Parthiban, A., & Kim, S. (2016). Optimization of substrate concentration of dilute acid hydrolyzate of lignocellulosic biomass in batch hydrogen production. International Biodeterioration & Biodegradation, 113, 22–27. https://doi.org/10.1016/j.ibiod.2016.04.018",,https://sci-hub.se/10.1016/j.ibiod.2016.04.018,,,
,Cellulose,Thermoanaerobacterium,Batch,7.5,80,12.2 mol H2/mol glucose equivalent,"Nguyen, T. D., Han, S. J., Kim, J. P., Kim, M. S., Oh, Y. K., & Sim, S. J. (2008). Hydrogen production by the hyperthermophilic eubacterium, Thermotoga neapolitana, using cellulose pretreated by ionic liquid. International Journal of Hydrogen Energy, 33(19), 5161–5168. https://doi.org/10.1016/j.ijhydene.2008.05.019","(Nguyen et al., 2008)",https://sci-hub.se/10.1016/j.ijhydene.2008.05.019,,,
,Sweet sorghum bagasse 10 g sugar/dm³,Caldiclostridium saccharolyticus,Batch,6.8,72,2.6 mol H2/mol hexose,"Panagiotopoulos, I., Bakker, R., De Vrije, T., Koukios, E., & Claassen, P. (2010). Pretreatment of sweet sorghum bagasse for hydrogen production by Caldicellulosiruptor saccharolyticus. International Journal of Hydrogen Energy, 35(15), 7738–7747. https://doi.org/10.1016/j.ijhydene.2010.05.075","(Panagiotopoulos et al., 2010)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2010.05.075,,,
,Glucose 20 g/dm³,Sludge from a beach in Tianjin,Batch,pH 7.2,T= 37°C,0.20 mol H2/mol glucose,"Liu, H., Wang, G., Zhu, D., & Pan, G. (2009). Enrichment of the hydrogen-producing microbial community from marine intertidal sludge by different pretreatment methods. International Journal of Hydrogen Energy, 34(24), 9696–9701. https://doi.org/10.1016/j.ijhydene.2009.10.025","(Liu et al., 2009)",https://sci-hub.se/10.1016/j.ijhydene.2009.10.025,,,
,"POME 
80 g COD/ 
dm3 ",Anaerobic digested  sludge from a biogas reactor ,Batch,pH 7.3,T= 37°C,0.17 mol H2/mol glucose,"O-Thong, S., Prasertsan, P., & Birkeland, N. (2008). Evaluation of methods for preparing hydrogen-producing seed inocula under thermophilic condition by process performance and microbial community analysis. Bioresource Technology, 100(2), 909–918. https://doi.org/10.1016/j.biortech.2008.07.036","(O-Thong et al., 2008)",https://sci-hub.se/10.1016/j.biortech.2008.07.036,,,
,"Sucrose 
20 g/dm3 ","Marine mixed 
microflora ",Batch,pH 7.4,T= 37°C,0.11 mol H2/mol glucose,"Cai, J., Wang, G., Li, Y., Zhu, D., & Pan, G. (2009). Enrichment and hydrogen production by marine anaerobic hydrogen-producing microflora. Science Bulletin, 54(15), 2656–2661. https://doi.org/10.1007/s11434-009-0399-5","(Cai et al., 2009)",file:///C:/Users/Hagar/Downloads/9gGbExwszdsFZWkDE.pdf,,,
,"Glucose 
100 g/dm3 ","Anaerobic 
inoculum 
from ethanol 
manufacturing 
facility ",Batch,pH 7.5,T= 37°C,0.45 mol H2/mol glucose,"Chaganti, S. R., Kim, D., & Lalman, J. A. (2012). Dark fermentative hydrogen production by mixed anaerobic cultures: Effect of inoculum treatment methods on hydrogen yield. Renewable Energy, 48, 117–121. https://doi.org/10.1016/j.renene.2012.04.015","(Chaganti et al., 2012)",file:///C:/Users/Hagar/Downloads/9gGbExwszdsFZWkDE.pdf,,,
,"Glucose  
1 g/dm","Digested 
sludge from 
digester of 
WWTP ",Batch,pH 7.6,T= 44 °C,1.76  mol H2/mol glucose,"Wang, J., & Wan, W. (2008). Comparison of different pretreatment methods for enriching hydrogen-producing bacteria from digested sludge. International Journal of Hydrogen Energy, 33(12), 2934–2941. https://doi.org/10.1016/j.ijhydene.2008.03.048","(Wang & Wan, 2008)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2008.03.048,,,
,POME ,"Sludge from 
anaerobic 
treatment 
plant ",Batch,5.5,30,4.62 (in hydrolyzed POME),"Rosa, D., Medeiros, A. B. P., Martinez-Burgos, W. J., Nascimento, J. R. D., De Carvalho, J. C., Sydney, E. B., & Soccol, C. R. (2020). Biological hydrogen production from palm oil mill effluent (POME) by anaerobic consortia and Clostridium beijerinckii. Journal of Biotechnology, 323, 17–23. https://doi.org/10.1016/j.jbiotec.2020.06.015","(Rosa et al., 2020)",https://sci-hub.se/10.1016/j.jbiotec.2020.06.015,,,
,"Sucrose 
10 g/dm3 ","Mixed 
cultures from 
sludge from 
anaerobic 
digester of 
WWTP",Batch,pH 5.6,T= 60°C,0.43 mol H2/mol hexose,"Zhu, H., & Beland, M. (2006). Evaluation of alternative methods of preparing hydrogen producing seeds from digested wastewater sludge. International Journal of Hydrogen Energy, 31(14), 1980–1988. https://doi.org/10.1016/j.ijhydene.2006.01.019","(Zhu & Beland, 2006)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2006.01.019,,,
,"Glucose 
1 g/dm3 ",Anaerobic cultures from industrial and municipal WWTP,Batch,pH 5.7,T= 60°C,0.45 mol H2/mol hexose,"Pendyala, B., Chaganti, S. R., Lalman, J. A., Shanmugam, S. R., Heath, D. D., & Lau, P. C. (2012). Pretreating mixed anaerobic communities from different sources: Correlating the hydrogen yield with hydrogenase activity and microbial diversity. International Journal of Hydrogen Energy, 37(17), 12175–12186. https://doi.org/10.1016/j.ijhydene.2012.05.105","(Pendyala et al., 2012)",https://sci-hub.se/10.1016/j.ijhydene.2012.05.105,,,
,"Glucose 
10 g/dm3 ","Activated 
sludge from 
municipal 
WWTP ",Batch,pH 5.8,T= 60°C,1.82 mol H2 / mol glucose,"Chang, S., Li, J., & Liu, F. (2010). Evaluation of different pretreatment methods for preparing hydrogen-producing seed inocula from waste activated sludge. Renewable Energy, 36(5), 1517–1522. https://doi.org/10.1016/j.renene.2010.11.023","(Chang et al., 2010)",http://sci-hub.se/10.1016/j.renene.2010.11.023,,,
,Cow waste slurry,Mixed cultures,Fermentor/Batch,6.5,37-75,743 cm³ H2/kg cow dung,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.043,,,
,Rice winery wastewater,Mixed cultures from WWTP,USAB,5.5,20-55,1.9 mol H2/mol hexose,"Yu, H., Zhu, Z., Hu, W., & Zhang, H. (2002). Hydrogen production from rice winery wastewater in an upflow anaerobic reactor by using mixed anaerobic cultures. International Journal of Hydrogen Energy, 27(11–12), 1359–1365. https://doi.org/10.1016/s0360-3199(02)00073-3","(Yu et al., 2002)",https://sci-hub.se/10.1016/S0360-3199(02)00073-3,,,
,Glucose 6.7 g/dm³,Mixed cultures,Fermentor/Batch,7,20-55,275.1 cm³/g glucose,"Wang, J., & Wan, W. (2008). Effect of temperature on fermentative hydrogen production by mixed cultures. International Journal of Hydrogen Energy, 33(20), 5392–5397. https://doi.org/10.1016/j.ijhydene.2008.07.010","(Wang & Wan, 2008)",https://sci-hub.se/https://doi.org/10.1016/j.ijhydene.2008.07.010,,,
,Glucose 1%,Bacillus coagulans IIT-BT S1,Fermentor/Batch,6,28-40,9.17 mL H2/g COD,"Zheng, H. S., Guo, W. Q., Yang, S. S., Feng, X. C., Zhou, X. J., Liu, B., & Ren, N. Q. (2013). Biohydrogen Production by Co-Fermentation of Starch Wastewater and Sludge under Thermophilic Condition. Advanced Materials Research, 724–725, 360–364. https://doi.org/10.4028/www.scientific.net/amr.724-725.360","(Zheng et al., 2013)",https://sci-hub.se/10.4028/www.scientific.net/amr.724-725.360,,,
,Cellulose 5 g/dm³,T. thermosaccharolyticum,Fermentor/Batch,7,50-70,2.17 mol H2/mol glucose,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.043,,,
,Organic waste,Mixed cultures,Semi-continuous,6.5,40-80,360 cm³ H2/g VS,"Muri, P., Osojnik-Crnivec, I. G., Djinovic, P., & Pintar, A. (2016). Biohydrogen Production from Simple Carbohydrates with Optimization of Operating Parameters. Acta Chimica Slovenica, 63(1), 164–154. https://doi.org/10.17344/acsi.2015.2085","(Muri et al., 2016)",https://www.researchgate.net/publication/298209185_Biohydrogen_Production_from_Simple_Carbohydrates_with_Optimization_of_Operating_Parameters,,,
,Sucrose 10 g/dm³,Mixed cultures,Semi-continuous,6.25,45-80,2.53 mol H2/mol hexose,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.043,,,
,Grass silage,Mixed cultures from cow manure,Fermentor/Batch,6,"35, 55, 70",16 cm³ H2/g VS,"Wang, J., & Yin, Y. (2018b). Fermentative hydrogen production using various biomass-based materials as feedstock. Renewable and Sustainable Energy Reviews, 92, 284–306. https://doi.org/10.1016/j.rser.2018.04.033","(Wang & Yin, 2018b)",https://sci-hub.se/https://doi.org/10.1016/j.rser.2018.04.033,,,
,Sucrose 20 g COD/dm³,Mixed cultures from municipal sewage sludge,Batch,5.5,-,4.70 mol H2/mol sucrose,"Chen, C., Chen, H., Wu, J., & Lin, C. (2007). Fermentative hydrogen production at high sulfate concentration. International Journal of Hydrogen Energy, 33(5), 1573–1578. https://doi.org/10.1016/j.ijhydene.2007.09.042","(Chen et al., 2007)",https://sci-hub.se/10.1016/j.ijhydene.2007.09.042,,,
,Sucrose 20 g COD/dm³,Mixed cultures from sludge from WWTP,Continious,6.7,35,3.91 mol H2/mol sucrose,"Lee, K., Lo, Y., Lin, P., & Chang, J. (2006). Improving biohydrogen production in a carrier-induced granular sludge bed by altering physical configuration and agitation pattern of the bioreactor. International Journal of Hydrogen Energy, 31(12), 1648–1657. https://doi.org/10.1016/j.ijhydene.2005.12.020","(Lee et al., 2006)",https://link.springer.com/article/10.1007/s11783-010-0258-2,"Lin, C., Lay, C., & Chen, C. (2016). High-Strength wastewater treatment using anaerobic processes. In Elsevier eBooks (pp. 321–357). https://doi.org/10.1016/b978-0-444-63665-2.00013-8","(Lin et al., 2016)",https://sci-hub.se/10.1016/B978-0-444-63665-2.00013-8
,Sucrose 20 g COD/dm³,Mixed cultures from sludge from WWTP,Batch,5.8,35,1.47 mol H2/mol,"Wu, T., Zhu, G., Jha, A. K., Zou, R., Liu, L., Huang, X., & Liu, C. (2013). Hydrogen production with effluent from an anaerobic baffled reactor (ABR) using a single-chamber microbial electrolysis cell (MEC). International Journal of Hydrogen Energy, 38(25), 11117–11123. https://doi.org/10.1016/j.ijhydene.2013.03.029","(Wu et al., 2013)",https://www.researchgate.net/publication/271883368_Hydrogen_production_with_effluent_from_an_anaerobic_baffled_reactor_ABR_using_a_single-chamber_microbial_electrolysis_cell_MEC,"Tunçay, E. G., Erguder, T. H., Eroglu, I., & Gündüz, U. (2017). Dark fermentative hydrogen production from sucrose and molasses. International Journal of Energy Research, 41(13), 1891–1902. https://doi.org/10.1002/er.3751","(Tunçay et al., 2017)",https://sci-hub.se/10.1002/er.3751
,Sucrose 20 g COD/dm³,Mixed cultures from sludge from WWTP,Batch,6.7,40,3.15 ± 0.08 mol H2/mol,"Lee, K., Lin, P., & Chang, J. (2005). Temperature effects on biohydrogen production in a granular sludge bed induced by activated carbon carriers. International Journal of Hydrogen Energy, 31(4), 465–472. https://doi.org/10.1016/j.ijhydene.2005.04.024","(Lee et al., 2005)",https://sci-hub.se/10.1016/j.ijhydene.2005.04.024,,,
,Glucose 10 g/dm³,Mixed cultures from sludge from WWTP,Batch,4.4,35,0.55 mol H2/mol glucose,"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.043,,,
,Glucose 6 g/dm³,Mixed cultures from granular sludge from WWTP,-,5.5,37,2.7 mol H2/mol glucose,"Tapia-Venegas, E., Ramirez, J. E., Donoso-Bravo, A., Jorquera, L., Steyer, J., & Ruiz-Filippi, G. (2012). Bio-hydrogen production during acidogenic fermentation in a multistage stirred tank reactor. International Journal of Hydrogen Energy, 38(5), 2185–2190. https://doi.org/10.1016/j.ijhydene.2012.11.077","(Tapia-Venegas et al., 2012)",https://sci-hub.se/10.1016/j.ijhydene.2012.11.077,,,
,Sugar refinery wastewater,Sewage sludge,-,5.5,31,0.95 mol H2/mol,"Won, S., Baldwin, S., Lau, A., & Rezadehbashi, M. (2013). Optimal operational conditions for biohydrogen production from sugar refinery wastewater in an ASBR. International Journal of Hydrogen Energy, 38(32), 13895–13906. https://doi.org/10.1016/j.ijhydene.2013.08.071","(Won et al., 2013)",https://sci-hub.se/10.1016/j.ijhydene.2013.08.071,,,
,Food wastes,Mixed cultures from sludge from WWTP,-,5.5,,13.13 (N dm³ H2/kg VS added),"Lukajtis, R., Holowacz, I., Kucharska, K., Glinka, M., Rybarczyk, P., Przyjazny, A., & Kaminski, M. (2018). Hydrogen production from biomass using dark fermentation. Renewable and Sustainable Energy Reviews, 91, 665–694. https://doi.org/10.1016/j.rser.2018.04.043","(Lukajtis et al., 2018)",https://sci-hub.se/10.1016/j.rser.2018.04.043,,,
,Sucrose 20 g COD/dm³,Mixed cultures from sludge from WWTP,-,6.7,40,3.15 ± 0.08 mol H2/mol,"Lee, K., Lin, P., & Chang, J. (2005). Temperature effects on biohydrogen production in a granular sludge bed induced by activated carbon carriers. International Journal of Hydrogen Energy, 31(4), 465–472. https://doi.org/10.1016/j.ijhydene.2005.04.024","(Lee et al., 2005)",https://sci-hub.se/10.1016/j.ijhydene.2005.04.024,,,
,Sweet sorghum,Mixed cultures,-,5.5,31,7.6 dm³ H2/kg sweet sorghum,"Antonopoulou, G., Gavala, H. N., Skiadas, I. V., Angelopoulos, K., & Lyberatos, G. (2007). Biofuels generation from sweet sorghum: Fermentative hydrogen production and anaerobic digestion of the remaining biomass. Bioresource Technology, 99(1), 110–119. https://doi.org/10.1016/j.biortech.2006.11.048","(Antonopoulou et al., 2007)",https://sci-hub.se/10.1016/j.biortech.2006.11.048,,,
,Cassava processing wastewater and glucose mixture,Mixed cultures from sludge from SP and Sw,-,6,30,1.33 mmol H2/g COD,"Rosa, P. R. F., Santos, S. C., Sakamoto, I. K., Varesche, M. B. A., & Silva, E. L. (2014). Hydrogen production from cheese whey with ethanol-type fermentation: Effect of hydraulic retention time on the microbial community composition. Bioresource Technology, 161, 10–19. https://doi.org/10.1016/j.biortech.2014.03.020","(Rosa et al., 2014)",https://sci-hub.se/10.1016/j.biortech.2014.03.020,,,
,Switchgrass steam exploded liquor,Mixed cultures from brewery WT,-,6,37,2.56±0.10 mol/mol hexose,"Veeravalli, S. S., Chaganti, S. R., Lalman, J. A., & Heath, D. D. (2014b). Fermentative H2 production using a switchgrass steam exploded liquor fed to mixed anaerobic cultures: Effect of hydraulic retention time, linoleic acid and nitrogen sparging. International Journal of Hydrogen Energy, 39(19), 9994–10002. https://doi.org/10.1016/j.ijhydene.2014.04.114","(Veeravalli et al., 2014)",https://www.sciencedirect.com/science/article/abs/pii/S0360319914011707,,,
,Washing wastewater of beverage,Mixed cultures from WWTP,-,1,40,0.30±0.06 mol/mol hexose,"Liu, C., Zheng, J., Wu, S., & Chu, C. (2015). Fermentative hydrogen production potential from washing wastewater of beverage production process. International Journal of Hydrogen Energy, 41(7), 4466–4473. https://doi.org/10.1016/j.ijhydene.2015.08.079","(Liu et al., 2015)",https://sci-hub.se/10.1016/j.ijhydene.2015.08.079,,,
,Cheese whey powder,Mixed cultures from sugarcane stillage T,-,0.5,55,3.67±0.59 mol/mol lactose,"Ottaviano, L. M., Ramos, L. R., Botta, L. S., Varesche, M. B. A., & Silva, E. L. (2016). Continuous thermophilic hydrogen production from cheese whey powder solution in an anaerobic fluidized bed reactor: Effect of hydraulic retention time and initial substrate concentration. International Journal of Hydrogen Energy, 42(8), 4848–4860. https://doi.org/10.1016/j.ijhydene.2016.11.168","(Ottaviano et al., 2016)",https://sci-hub.se/10.1016/j.ijhydene.2016.11.168,,,
,Sewage biosolids,Mixed cultures,-,12,35,27.0 dm³ H2/kg VS added,"Massanet-Nicolau, J., Guwy, A., Dinsdale, R., Premier, G., & Esteves, S. (2009). Production of hydrogen from sewage biosolids in a continuously fed bioreactor: Effect of hydraulic retention time and sparging. International Journal of Hydrogen Energy, 35(2), 469–478. https://doi.org/10.1016/j.ijhydene.2009.10.076","(Massanet-Nicolau et al., 2009)",https://sci-hub.se/10.1016/j.ijhydene.2009.10.076,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),6,35,"0(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010071","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,30,"0.02(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010072","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,40,"0.031(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010073","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,30,"0.149(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010074","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,40,"0.107(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010075","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,30,"0.101(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010076","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,40,"0.082(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010077","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,30,"0.248(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010078","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),7,40,"0.176(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010079","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,30,"0(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010080","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
,Coffee mucilage combined with organic wastes,Mixed cultures,Bioreactor (30 L),5,40,"0(mol H2/mol
Hexose)","Cárdenas, E. L. M., Zapata-Zapata, A. D., & Kim, D. (2018). Hydrogen Production from Coffee Mucilage in Dark Fermentation with Organic Wastes. Energies, 12(1), 71. https://doi.org/10.3390/en12010081","(Cárdenas et al., 2018)",https://sci-hub.se/10.3390/en12010071,,,
